Name,SiteNumber,EventDateTime,MeterNumber,MeterReading,BatteryVoltage,PowerStatus,PSiteName,ReadingDate,ReadingTime
Rietvlei1,0003,2016-01-26 06:00:05.730,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,06:00:00
Rietvlei1,0003,2016-01-26 06:00:04.513,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,06:00:00
Rietvlei1,0003,2016-01-26 06:00:03.543,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,06:00:00
Rietvlei1,0003,2016-01-26 06:00:02.513,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,06:00:00
Rietvlei1,0003,2016-01-26 05:00:05.573,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/26,05:00:00
Rietvlei1,0003,2016-01-26 05:00:04.637,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/26,05:00:00
Rietvlei1,0003,2016-01-26 05:00:03.537,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/26,05:00:00
Rietvlei1,0003,2016-01-26 05:00:02.430,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/26,05:00:00
Rietvlei1,0003,2016-01-26 04:00:04.870,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,04:00:00
Rietvlei1,0003,2016-01-26 04:00:03.890,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,04:00:00
Rietvlei1,0003,2016-01-26 04:00:02.833,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,04:00:00
Rietvlei1,0003,2016-01-26 04:00:01.543,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,04:00:00
Rietvlei1,0003,2016-01-26 03:00:04.477,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,03:00:00
Rietvlei1,0003,2016-01-26 03:00:03.520,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,03:00:00
Rietvlei1,0003,2016-01-26 03:00:02.333,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,03:00:00
Rietvlei1,0003,2016-01-26 03:00:01.300,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,03:00:00
Rietvlei1,0003,2016-01-26 02:00:04.543,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,02:00:00
Rietvlei1,0003,2016-01-26 02:00:03.113,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,02:00:00
Rietvlei1,0003,2016-01-26 02:00:02.107,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,02:00:00
Rietvlei1,0003,2016-01-26 02:00:00.993,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,02:00:00
Rietvlei1,0003,2016-01-26 01:00:05.810,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,01:00:00
Rietvlei1,0003,2016-01-26 01:00:04.407,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,01:00:00
Rietvlei1,0003,2016-01-26 01:00:03.080,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,01:00:00
Rietvlei1,0003,2016-01-26 01:00:01.990,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/26,01:00:00
Rietvlei1,0003,2016-01-26 00:00:06.247,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/26,00:00:00
Rietvlei1,0003,2016-01-26 00:00:05.297,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/26,00:00:00
Rietvlei1,0003,2016-01-26 00:00:03.990,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/26,00:00:00
Rietvlei1,0003,2016-01-26 00:00:02.843,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/26,00:00:00
Rietvlei1,0003,2016-01-25 23:00:06.123,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,23:00:00
Rietvlei1,0003,2016-01-25 23:00:05.127,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,23:00:00
Rietvlei1,0003,2016-01-25 23:00:04.040,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,23:00:00
Rietvlei1,0003,2016-01-25 23:00:03.000,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,23:00:00
Rietvlei1,0003,2016-01-25 22:00:06.950,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,22:00:00
Rietvlei1,0003,2016-01-25 22:00:05.960,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,22:00:00
Rietvlei1,0003,2016-01-25 22:00:04.467,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,22:00:00
Rietvlei1,0003,2016-01-25 22:00:02.817,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,22:00:00
Rietvlei1,0003,2016-01-25 21:00:05.757,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,21:00:00
Rietvlei1,0003,2016-01-25 21:00:04.787,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,21:00:00
Rietvlei1,0003,2016-01-25 21:00:03.753,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,21:00:00
Rietvlei1,0003,2016-01-25 21:00:02.690,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,21:00:00
Rietvlei1,0003,2016-01-25 20:00:04.870,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,20:00:00
Rietvlei1,0003,2016-01-25 20:00:03.593,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,20:00:00
Rietvlei1,0003,2016-01-25 20:00:02.450,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,20:00:00
Rietvlei1,0003,2016-01-25 20:00:01.323,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,20:00:00
Rietvlei1,0003,2016-01-25 19:00:05.777,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,19:00:00
Rietvlei1,0003,2016-01-25 19:00:04.500,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,19:00:00
Rietvlei1,0003,2016-01-25 19:00:03.400,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,19:00:00
Rietvlei1,0003,2016-01-25 19:00:02.333,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,19:00:00
Rietvlei1,0003,2016-01-25 18:00:04.567,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,18:00:00
Rietvlei1,0003,2016-01-25 18:00:03.577,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,18:00:00
Rietvlei1,0003,2016-01-25 18:00:02.407,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,18:00:00
Rietvlei1,0003,2016-01-25 18:00:01.330,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,18:00:00
Rietvlei1,0003,2016-01-25 17:00:05.020,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,17:00:00
Rietvlei1,0003,2016-01-25 17:00:03.867,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,17:00:00
Rietvlei1,0003,2016-01-25 17:00:02.433,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,17:00:00
